lat,lon,name,capacity,fee,access
33.7662024,-118.1986712,Unnamed Parking Structure,Unknown,Unknown,customers
33.81769854666666,-118.14357634,Unnamed Parking Structure,Unknown,yes,customers
33.763687665714286,-118.19644543714286,Unnamed Parking Structure,Unknown,yes,yes
33.77245324,-118.19176564,Unnamed Parking Structure,Unknown,yes,yes
33.773448165217395,-118.19140066956521,Unnamed Parking Structure,Unknown,yes,yes
33.83126660943396,-118.14109095849057,Boeing Parking Structure,Unknown,Unknown,private
33.78731253043478,-118.10942347391305,Palo Verde North Parking Structure,Unknown,yes,customers
33.8308106,-118.13469214,parking structure,Unknown,Unknown,Unknown
33.764877606666666,-118.1919992,Unnamed Parking Structure,Unknown,yes,yes
33.76420525555555,-118.19199273333334,Unnamed Parking Structure,Unknown,yes,yes
33.76784671818182,-118.19005740909091,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.83665230909091,-118.1890326909091,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.80939915,-118.18837268333334,Parking structure,Unknown,Unknown,Unknown
33.80752984285714,-118.14657674285715,parking structure,Unknown,Unknown,Unknown
33.81830283559322,-118.14192465423729,Unnamed Parking Structure,Unknown,yes,yes
33.76767323333333,-118.19192103333334,Unnamed Parking Structure,Unknown,Unknown,customers
33.768325375,-118.1928412875,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.750534723076925,-118.19068687948717,Unnamed Parking Structure,Unknown,yes,Unknown
33.79042997777778,-118.17261064444445,P2,Unknown,Unknown,Unknown
33.771213010000004,-118.19133265999999,Unnamed Parking Structure,Unknown,yes,yes
33.78045338076923,-118.18741037692308,Unnamed Parking Structure,Unknown,Unknown,private
33.7871657625,-118.14110728125,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.78793895625,-118.1413259125,Unnamed Parking Structure,Unknown,Unknown,private
33.78940003157895,-118.14468562631579,Unnamed Parking Structure,Unknown,no,customers
33.805910250000004,-118.1904769625,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.80681445555555,-118.18763533333333,"Parking structure for Visitors, Employee, Volunteers",Unknown,Unknown,Unknown
33.8093078375,-118.135603290625,AmeriFleet Transportation Suite 350,Unknown,Unknown,Unknown
33.83083379166667,-118.13467950833332,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7646470952381,-118.19957435873016,Unnamed Parking Structure,Unknown,yes,yes
33.7683676,-118.19332096470589,Unnamed Parking Structure,Unknown,Unknown,private
33.7689057,-118.19570674090909,Unnamed Parking Structure,Unknown,yes,yes
33.76839621111111,-118.19854764444443,Parking structure (for courthouse),Unknown,yes,yes
33.7652618923913,-118.19620577934782,Unnamed Parking Structure,Unknown,yes,yes
33.786170764,-118.109486848,Palo Verde South Parking Structure,Unknown,Unknown,Unknown
33.78583287222222,-118.1156876,Pyramid Parking Structure,Unknown,Unknown,Unknown
33.75725489166667,-118.1117969,Unnamed Parking Structure,Unknown,no,customers
33.7686262,-118.19678296363637,Unnamed Parking Structure,Unknown,Unknown,private
33.82392267777778,-118.16676152222223,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7805289,-118.18737825,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7676394,-118.1854398,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.76530324117647,-118.18752702941177,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.76896836,-118.18443318,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.76763365833333,-118.18545189166667,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.76893355833334,-118.195776675,Unnamed Parking Structure,Unknown,yes,yes
33.76865831,-118.19684073,Unnamed Parking Structure,Unknown,Unknown,private
33.773530425000004,-118.19139475,Unnamed Parking Structure,Unknown,yes,yes
33.77236215,-118.191712525,Unnamed Parking Structure,Unknown,yes,yes
33.7554415,-118.10981425,Unnamed Parking Structure,Unknown,yes,customers
33.7661411375,-118.1986636875,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7509611,-118.190979,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7504262,-118.1900663,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7498793,-118.1907461,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.74988,-118.1906841,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7499056,-118.190716,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7504676,-118.1914808,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7504907,-118.1899502,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7504923,-118.1914525,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505045,-118.1899675,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505066,-118.1915004,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505192,-118.191486,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505339,-118.1899007,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505461,-118.1899249,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505482,-118.1900221,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505434,-118.1899115,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505503,-118.1899201,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505614,-118.1915687,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505716,-118.1900527,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505679,-118.1915613,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505707,-118.1899556,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505744,-118.1899514,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505784,-118.1915818,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505808,-118.1899594,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505912,-118.1899728,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7507635,-118.1911982,Unnamed Parking Structure,Unknown,Unknown,Unknown
