name,lat,lon,coordinates
Pacific Avenue,33.7912044,-118.1937338,"[(33.7912044, -118.1937338), (33.7912613, -118.1937314), (33.7913333, -118.1937352), (33.7916828, -118.1937345)]"
East 5th Street,33.7726597,-118.1894753,"[(33.7726597, -118.1894753), (33.7726589, -118.1904478), (33.7726384, -118.1905779), (33.7726551, -118.1906768), (33.7726754, -118.1907507), (33.7726974, -118.190809), (33.7729092, -118.1911851), (33.7729382, -118.1912559), (33.772952, -118.1913502), (33.7729464, -118.191801), (33.7729462, -118.1918212), (33.7729412, -118.1922941), (33.7729401, -118.1923992)]"
Ximeno Avenue,33.7916721,-118.1392623,"[(33.7916721, -118.1392623), (33.7915057, -118.1390729), (33.7914055, -118.1389845), (33.791351, -118.1389518), (33.7912182, -118.1389147), (33.7910511, -118.1389084), (33.7905244, -118.1389132), (33.7902221, -118.1389122)]"
Donald Douglas Drive,33.8188632,-118.1407055,"[(33.8188632, -118.1407055), (33.8188613, -118.1412342), (33.8188609, -118.1413473), (33.8188608, -118.1413788), (33.8188607, -118.1417732), (33.8188606, -118.1420638)]"
North Marina Drive,33.7523526,-118.1077105,"[(33.7523526, -118.1077105), (33.7522865, -118.1077002), (33.7522376, -118.1076968), (33.7521762, -118.1076998), (33.7520571, -118.1077271), (33.7519587, -118.1077645), (33.7518677, -118.1078162)]"
Obispo Avenue,33.7977711,-118.1545887,"[(33.7977711, -118.1545887), (33.7981333, -118.1545898), (33.7982673, -118.1545963), (33.798371, -118.1546104), (33.7984608, -118.1546278), (33.7986227, -118.1546815), (33.7987679, -118.1547542), (33.7988875, -118.1548297), (33.7990178, -118.1549306), (33.7991188, -118.1550267), (33.7991466, -118.1550651), (33.7992509, -118.1551924), (33.7994676, -118.155493)]"
Obispo Avenue,33.7717077,-118.1545983,"[(33.7717077, -118.1545983), (33.7726383, -118.1545861), (33.773441, -118.1545869), (33.7734578, -118.1545862), (33.7735414, -118.154587), (33.7735992, -118.154587), (33.7736305, -118.1545877), (33.7739863, -118.1545907), (33.7744434, -118.1545938), (33.7748976, -118.154591), (33.7753407, -118.154589), (33.7755219, -118.1545886), (33.7756014, -118.1545885), (33.7758332, -118.1545883), (33.7771485, -118.154586), (33.7789765, -118.1545966)]"
Redondo Avenue,33.761002,-118.152659,"[(33.761002, -118.152659), (33.761106, -118.1526339), (33.7616936, -118.1524713)]"
East 3rd Street,33.7680869,-118.1470017,"[(33.7680869, -118.1470017), (33.7680845, -118.1468001), (33.7680855, -118.146706), (33.7680867, -118.146455), (33.7680869, -118.145906), (33.7680872, -118.1453667), (33.7680868, -118.1448244), (33.7680838, -118.1442807), (33.7680806, -118.1437436), (33.7680807, -118.1431946), (33.7680814, -118.1426481), (33.7680819, -118.1421099), (33.7680846, -118.1415738), (33.7680845, -118.1410218), (33.7680893, -118.140483), (33.7680872, -118.1399339), (33.7680852, -118.139391), (33.7680865, -118.1388532), (33.768087, -118.1383025), (33.7680827, -118.1377574), (33.7680829, -118.1372166), (33.768083, -118.1366585), (33.7680842, -118.136129), (33.7680848, -118.1355832), (33.7680835, -118.1350462), (33.7680815, -118.1345), (33.7680825, -118.133957), (33.7680832, -118.1334183), (33.7680813, -118.1329977), (33.7680814, -118.1329755), (33.7680819, -118.1328791)]"
Vista Street,33.7662648,-118.132883,"[(33.7662648, -118.132883), (33.7662645, -118.1329696), (33.7662645, -118.1334282), (33.7662678, -118.133968), (33.766267, -118.1345063), (33.7662641, -118.1350473), (33.7662646, -118.1355882), (33.7662683, -118.136135), (33.7662685, -118.136678), (33.7662668, -118.1371137), (33.7662691, -118.1372237), (33.7662695, -118.1373457), (33.7662686, -118.137763), (33.76627, -118.1383066), (33.7662737, -118.1388533), (33.7662693, -118.1394015), (33.7662689, -118.1399417), (33.7662684, -118.140488), (33.766268, -118.1410341), (33.7662687, -118.1413062)]"
East Atherton Street,33.7898577,-118.1405374,"[(33.7898577, -118.1405374), (33.7898581, -118.1404321), (33.7898549, -118.140141), (33.7898545, -118.139919), (33.7898558, -118.139808), (33.7898452, -118.1392809)]"
East Wardlow Road,33.8188676,-118.1165492,"[(33.8188676, -118.1165492), (33.818867, -118.1167589), (33.8188649, -118.119998), (33.818867, -118.1207907), (33.8188669, -118.1208844), (33.8188656, -118.121719), (33.818865, -118.1218595), (33.8188643, -118.122018), (33.8188643, -118.1221592), (33.8188621, -118.1225313), (33.8188597, -118.1233511), (33.8188634, -118.1241695), (33.8188677, -118.12489), (33.8188683, -118.124985)]"
West Broadway,33.7692759,-118.2011271,"[(33.7692759, -118.2011271), (33.769287, -118.2007285), (33.7692958, -118.2006212)]"
Atlantic Avenue,33.8267819,-118.1850716,"[(33.8267819, -118.1850716), (33.8267117, -118.185)]"
223rd Street,33.8242541,-118.2422525,"[(33.8242541, -118.2422525), (33.8242509, -118.2424699)]"
East 223rd Street,33.8242582,-118.2414194,"[(33.8242582, -118.2414194), (33.8242592, -118.2411116)]"
East Spring Street,33.8103139,-118.1117878,"[(33.8103139, -118.1117878), (33.8103201, -118.1119333), (33.8103212, -118.1119602), (33.8103247, -118.1136019), (33.8103195, -118.1137775)]"
Azure Bay,33.7667222,-118.1218218,"[(33.7667222, -118.1218218), (33.7666755, -118.1218267), (33.7666264, -118.1218107), (33.7665016, -118.1216962), (33.7664528, -118.1216728), (33.7664101, -118.1216644), (33.7663455, -118.1216056)]"
Wehrle Street,33.7844112,-118.1469847,"[(33.7844112, -118.1469847), (33.7844127, -118.1464367), (33.7844049, -118.1460034), (33.784403, -118.1458966)]"
Ridgeview Terrace Drive,33.7963506,-118.1567715,"[(33.7963506, -118.1567715), (33.7963512, -118.1565016), (33.796352, -118.1564262), (33.7963543, -118.1562096), (33.7956716, -118.1562194), (33.7956721, -118.155737), (33.7961044, -118.1557457)]"
Los Cerritos Park Place,33.8255189,-118.1995109,"[(33.8255189, -118.1995109), (33.8259191, -118.1986315), (33.8259904, -118.1984748)]"
Whitewood Avenue,33.836133,-118.1360785,"[(33.836133, -118.1360785), (33.839592, -118.1360606), (33.843067, -118.1360408), (33.8466954, -118.1360381)]"
Elm Avenue,33.7953169,-118.1882414,"[(33.7953169, -118.1882414), (33.7953885, -118.188242), (33.7970508, -118.188241), (33.7971296, -118.188241), (33.7972074, -118.1882405), (33.7987119, -118.188232), (33.7989379, -118.188234), (33.7998505, -118.1882385), (33.8006653, -118.1882371), (33.8007578, -118.1882376), (33.8008258, -118.1882368), (33.8016617, -118.1882347), (33.8024974, -118.1882349), (33.8025735, -118.188235), (33.8026596, -118.1882348), (33.8037915, -118.1882331), (33.8039289, -118.1882329), (33.8039779, -118.1882337), (33.8042581, -118.188235), (33.8043441, -118.188239), (33.8044659, -118.1882874)]"
Elm Avenue,33.8492288,-118.1883406,"[(33.8492288, -118.1883406), (33.8498541, -118.1883617), (33.8505029, -118.188359), (33.8511602, -118.1883669), (33.8517976, -118.1883665), (33.8524209, -118.1883742), (33.8533273, -118.1883761), (33.8542301, -118.188376), (33.8543282, -118.1883764), (33.854415, -118.1883762), (33.85513, -118.188378)]"
Elm Avenue,33.7831457,-118.1879893,"[(33.7831457, -118.1879893), (33.7838405, -118.1879954), (33.7845902, -118.1879909), (33.7857922, -118.1879996), (33.7862424, -118.1879874), (33.7864166, -118.1879866), (33.7870629, -118.1879851), (33.7871492, -118.187995)]"
Glendora Avenue,33.7616675,-118.1311708,"[(33.7616675, -118.1311708), (33.7617351, -118.1311158), (33.7618346, -118.1310028), (33.7619543, -118.130849), (33.7622046, -118.1305227), (33.7624211, -118.1302023), (33.7626423, -118.1298289), (33.7626903, -118.1297483), (33.762725, -118.1296631), (33.7628973, -118.1292422), (33.7630894, -118.1286599), (33.7631986, -118.1281517), (33.7632203, -118.1280487), (33.7632362, -118.1279438), (33.7632804, -118.1276747), (33.7633178, -118.1273071)]"
Conquista Avenue,33.8121219,-118.1088052,"[(33.8121219, -118.1088052), (33.8151537, -118.1087928), (33.816316, -118.108799)]"
Conquista Avenue,33.8204394,-118.1084054,"[(33.8204394, -118.1084054), (33.8204836, -118.1084633), (33.8205376, -118.108534), (33.8206878, -118.1087185), (33.8209005, -118.1088541), (33.8211458, -118.1089033), (33.8221111, -118.1089077), (33.8221793, -118.1089083), (33.8222777, -118.1089079), (33.824924, -118.108906), (33.8250013, -118.1089059)]"
Conquista Avenue,33.8323095,-118.1088866,"[(33.8323095, -118.1088866), (33.8323788, -118.1088853), (33.8324368, -118.1088843), (33.8360205, -118.1088704), (33.8395178, -118.108849), (33.8402317, -118.1088237), (33.840927, -118.10882), (33.8417151, -118.1088158), (33.8424506, -118.1088118), (33.8431135, -118.1088083), (33.8431898, -118.1088079), (33.8432792, -118.1088075), (33.8468313, -118.1087911), (33.8468758, -118.1087898), (33.8469495, -118.1087877)]"
Conquista Avenue,33.8249981,-118.1085593,"[(33.8249981, -118.1085593), (33.825112, -118.1085591), (33.8275326, -118.108554), (33.8300913, -118.1085295), (33.8301876, -118.1085726), (33.8302473, -118.1086544)]"
Conquista Avenue,33.795709,-118.1092325,"[(33.795709, -118.1092325), (33.7957722, -118.1092239), (33.7970334, -118.1092098), (33.7971226, -118.109183), (33.7973201, -118.1089711)]"
Conquista Avenue,33.7908109,-118.1091204,"[(33.7908109, -118.1091204), (33.7915243, -118.1091159), (33.7921673, -118.1090838), (33.7922535, -118.109087), (33.7923445, -118.1090905), (33.7935234, -118.1090872), (33.7939068, -118.1090859), (33.7940665, -118.1091134), (33.7942568, -118.1092066), (33.7944329, -118.10933)]"
Cedar Avenue,33.8152825,-118.194805,"[(33.8152825, -118.194805), (33.8152042, -118.1948045), (33.813544, -118.1947955), (33.8134616, -118.1947958), (33.813388, -118.1947958), (33.8117422, -118.194813), (33.8116474, -118.1948144), (33.8115661, -118.1948133), (33.8099092, -118.1947986), (33.8098351, -118.1947985), (33.809747, -118.1947981), (33.8081055, -118.1948106), (33.8080238, -118.194809), (33.8079448, -118.1948097), (33.8062121, -118.1948087), (33.8048261, -118.1948028), (33.8045353, -118.1948027), (33.8044329, -118.1948053), (33.8043334, -118.1948094), (33.8042589, -118.1948077), (33.8040647, -118.1948107), (33.8026576, -118.194831), (33.8025872, -118.1948325), (33.8024977, -118.1948304), (33.800847, -118.1948016), (33.8007536, -118.1948002), (33.8006831, -118.1948), (33.7990283, -118.1948009), (33.7989392, -118.1948011), (33.7988678, -118.194801), (33.7971241, -118.194801), (33.7953199, -118.1948134), (33.7935818, -118.1948144), (33.7934966, -118.1948108)]"
Cedar Avenue,33.8267228,-118.1960242,"[(33.8267228, -118.1960242), (33.8288845, -118.1962777), (33.8289468, -118.1962859), (33.8290288, -118.1962953), (33.8302144, -118.1964446), (33.8314236, -118.1965735), (33.8315713, -118.1965654), (33.8317687, -118.1965235), (33.8318141, -118.1965142), (33.8318819, -118.1964811), (33.8319746, -118.1964367), (33.8322506, -118.196177), (33.8324634, -118.1958564), (33.8326185, -118.1953088)]"
Cedar Avenue,33.7710317,-118.1950952,"[(33.7710317, -118.1950952), (33.771735, -118.195094)]"
Cedar Avenue,33.7753504,-118.195095,"[(33.7753504, -118.195095), (33.7758838, -118.1950969), (33.7765765, -118.1950952), (33.7771006, -118.1950939), (33.777755, -118.195088), (33.7783003, -118.1950964), (33.7789798, -118.1950912), (33.7798451, -118.1950978), (33.7814163, -118.1950957), (33.7819894, -118.195088), (33.7822809, -118.1950934), (33.7826093, -118.1950819), (33.7829986, -118.1950905), (33.7830344, -118.1950905), (33.7836372, -118.1950862), (33.7837097, -118.1950869)]"
Woodruff Avenue,33.8022599,-118.1142886,"[(33.8022599, -118.1142886), (33.8023494, -118.1143618), (33.8024889, -118.1144599), (33.8026445, -118.1145133), (33.8027178, -118.1145256), (33.8028552, -118.1145244)]"
Corinne Avenue,33.7906042,-118.1792385,"[(33.7906042, -118.1792385), (33.7912709, -118.1792397)]"
Carita Street,33.8243312,-118.1292191,"[(33.8243312, -118.1292191), (33.8243222, -118.1274511), (33.8243037, -118.1254137)]"
Carita Street,33.8242907,-118.1138279,"[(33.8242907, -118.1138279), (33.8243097, -118.1129742), (33.8242995, -118.1097303)]"
Carita Street,33.8243503,-118.1337184,"[(33.8243503, -118.1337184), (33.8243409, -118.130407)]"
East Carita Street,33.8240947,-118.1175496,"[(33.8240947, -118.1175496), (33.8241702, -118.1175354), (33.8242479, -118.1174547), (33.8242922, -118.1173554), (33.8243005, -118.1172544), (33.8243012, -118.1167729), (33.8242996, -118.1165663)]"
East 6th Street,33.7740808,-118.1807222,"[(33.7740808, -118.1807222), (33.7740441, -118.1806027)]"
