longitude,latitude,GIS_ACRES,YEAR_,FIRE_NAME,weight_hist,weight_recent
-118.5742117113887,34.07264560529137,23448.88,2025,PALISADES,10.062620656590543,10.062620656590543
-118.09261031530156,34.200787185240486,14056.26,2025,EATON,9.550894267283644,9.550894267283644
-118.58451526028216,34.54216802269026,10396.8,2025,HUGHES,9.24934952429051,9.24934952429051
-118.68430673592246,34.17513307734228,998.7378,2025,KENNETH,6.907493044601707,6.907493044601707
-118.47982762663078,34.33274904916097,831.3855,2025,HURST,6.724295674857907,6.724295674857907
-118.24682919466399,34.43483759010238,347.7042,2025,LIDIA,5.854223998346665,5.854223998346665
-118.53256467256135,35.503529474178414,59288.54,2024,BOREL,10.990188178196025,9.944333494888216
-117.70936822446654,34.30518271454497,55724.17,2024,BRIDGE,10.928187208944795,9.888232697955207
-117.06526176063937,34.15930736635214,43975.61,2024,LINE,10.691413180646766,9.673990697532044
-120.02974302590502,34.75901270653388,38610.38,2024,LAKE,10.561302330655293,9.556261531967296
-117.49319544351582,33.6621444546905,23526.35,2024,AIRPORT,10.065918853194608,9.108020025284096
-119.0210055835484,34.31626114773096,19902.06,2024,MOUNTAIN,9.898628767735588,8.95664969629434
-118.83416048748252,34.72642867159727,15563.13,2024,POST,9.652724186678146,8.73414603008711
-119.65929300990675,35.1988563801779,13279.43,2024,HURRICANE,9.494046802024291,8.590568795056218
-118.74807513081839,35.09608921585496,9637.177,2024,RANCHO,9.173487261837623,8.30051452838692
-118.53521829350554,34.97085681069985,5562.288,2024,WHITE,8.6239445793626,7.803267746475664
-116.72580277412608,33.45694676875017,5221.287,2024,NIXON,8.560690707534363,7.7460332764098245
-118.6975116587307,34.05180990176493,4123.706,2024,FRANKLIN,8.324750023501487,7.532545317059879
-117.59256226700288,34.2845519922485,2935.85,2024,VISTA,7.9850928573713915,7.225210803841312
-117.47940448723688,33.81431545812358,1710.17,2024,EAGLE,7.444932626057714,6.736453614813738
-116.20889146808553,32.66776543797422,1596.656,2024,MCCAIN 4,7.376292834066146,6.674345762653562
-118.24064687486452,34.917933662284774,1575.731,2024,WEST,7.363108995368098,6.662416532086217
-119.39735109714651,34.7579960028255,1496.342,2024,APACHE,7.311446815241149,6.615670658410041
-119.32016137482351,35.031585689518245,1478.558,2024,SCHOOL,7.2994986735051235,6.604859532691288
-119.93003893530972,35.28680852492007,1403.642,2024,BEAR,7.24753774502926,6.557843340330436
-119.5746461340993,34.875894577219775,1383.055,2024,HILL,7.2327728752724,6.544483533702001
-117.27789306946474,34.33203263868917,1130.459,2024,HESPERIA,7.031263229330917,6.36215006595897
-119.49609169222468,35.09812006470346,1074.765,2024,ROAD,6.980787315381663,6.3164775703081215
